Name,Sector,Employee count,Company Age(in years),Reviews Count,Highly Rated for,Critically Rated for,Overall Company Rating,Job Security Rating,Work-Life balance Rating,Company culture Rating,Skill development Rating,Work Satisfaction Rating,Salary & Benefits Rating,Promotions/Appraisal Rating
TVS Motor,Automobile , 5k-10k Employees , 45  ,3800.0,"Skill Development / Learning, Salary & Benefits, Job Security",,4.0,3.8,3.6,3.8,4.0,3.7,3.9,3.5
Cholamandalam Investment & Finance,NBFC , 10k-50k Employees , 46  ,3700.0,"Salary & Benefits, Job Security, Skill Development / Learning",,4.0,3.8,3.6,3.7,3.8,3.6,3.9,3.6
Manappuram Finance,NBFC , 10k-50k Employees , 75  ,3700.0,"Promotions / Appraisal, Skill Development / Learning",,4.0,3.7,3.7,3.7,3.8,3.7,3.7,3.8
IQVIA,Clinical Research , 10k-50k Employees , 42  ,3700.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,4.0,4.0,3.9,3.9,3.8,3.7,3.6,3.3
SBI Cards & Payment Services,Financial Services , 1k-5k Employees , 26  ,3700.0,,"Promotions / Appraisal, Work Satisfaction, Company Culture",3.7,3.5,3.4,3.4,3.6,3.3,3.4,3.0
Atos Syntel,IT Services & Consulting , 5k-10k Employees , 44  ,3700.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.4,3.6,3.5,3.4,3.3,3.0,2.8
SMFG India Credit,NBFC , 10k-50k Employees , 17  ,3700.0,"Salary & Benefits, Job Security, Company Culture",,4.1,3.9,3.8,3.8,3.8,3.7,4.1,3.7
BNY,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , 240  ,3600.0,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,4.0,3.7,3.9,4.0,3.8,3.7,3.9,3.4
Swiggy,Internet , 5k-10k Employees , 10  ,3600.0,,"Job Security, Promotions / Appraisal",3.8,3.1,3.5,3.6,3.6,3.5,3.7,3.2
Schneider Electric,Industrial Automation , 10k-50k Employees , 25  ,3600.0,"Company Culture, Work Life Balance, Job Security",,4.2,4.0,4.0,4.1,4.0,3.8,3.7,3.4
Optum,Healthcare , 10k-50k Employees , 47  ,3600.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.0,4.2,4.0,4.0,3.7,3.7,3.5,3.3
Amdocs,Software Product , 10k-50k Employees , 42  ,3600.0,"Company Culture, Job Security",Promotions / Appraisal,3.9,3.8,3.7,4.0,3.6,3.5,3.7,3.3
Hewlett Packard Enterprise,IT Services & Consulting , 10k-50k Employees , 9  ,3600.0,"Company Culture, Work Life Balance, Job Security",,4.2,4.1,4.3,4.3,3.9,3.9,3.7,3.4
Bosch,Auto Components , 5k-10k Employees , 138  ,3600.0,"Company Culture, Work Life Balance, Job Security",,4.2,4.1,4.1,4.2,4.1,3.9,3.8,3.5
State Bank of India,Banking , 1 Lakh+ Employees , 218  ,3500.0,"Job Security, Salary & Benefits",Work Life Balance,3.9,4.1,3.4,3.5,3.7,3.4,3.8,3.5
Hyundai Motor India Limited,Automobile , 10k-50k Employees , 57  ,3500.0,"Job Security, Salary & Benefits, Skill Development / Learning",,4.4,4.2,4.1,4.1,4.2,4.2,4.2,3.8
CBRE,Real Estate , 10k-50k Employees , 118  ,3500.0,"Skill Development / Learning, Job Security, Company Culture",,4.2,4.1,4.0,4.1,4.2,3.9,3.9,3.7
Dell,Consumer Electronics & Appliances , 10k-50k Employees , 40  ,3500.0,"Work Life Balance, Company Culture, Skill Development / Learning",,4.1,3.8,4.1,4.0,3.9,3.8,3.8,3.5
SBI Life Insurance Company,Insurance , 10k-50k Employees , 23  ,3400.0,Job Security,Promotions / Appraisal,3.9,3.9,3.5,3.6,3.7,3.5,3.6,3.4
JBM Group,Auto Components , 1k-5k Employees , 41  ,3400.0,"Job Security, Skill Development / Learning",,4.0,4.0,3.7,3.7,3.9,3.7,3.6,3.4
Oyo Rooms,Hospitality , 1k-5k Employees , 12  ,3400.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4,2.6,3.1,3.1,3.2,3.0,3.5,3.0
Ecom Express,Logistics , 10k-50k Employees , 12  ,3400.0,Skill Development / Learning,Promotions / Appraisal,4.0,3.6,3.7,3.7,3.8,3.7,3.7,3.4
Persistent Systems,IT Services & Consulting , 10k-50k Employees , 34  ,3400.0,,"Promotions / Appraisal, Job Security, Work Satisfaction",3.6,3.3,3.6,3.6,3.6,3.3,3.3,3.1
BT Group,Telecom , 10k-50k Employees , 178  ,3400.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,4.0,4.2,4.2,4.0,3.7,3.8,3.6,3.4
Bajaj Auto,Automobile , 5k-10k Employees , 79  ,3300.0,,Promotions / Appraisal,3.9,3.6,3.7,3.7,3.7,3.5,3.6,3.1
Reliance Communications,Telecom , 201-500 Employees , 22  ,3300.0,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,4.0,3.7,3.8,3.7,3.9,3.6,3.7,3.3
Marpu Foundation,Non-Profit , 51-200 Employees , 8  ,3300.0,"Company Culture, Work Satisfaction, Skill Development / Learning",,4.8,4.7,4.8,4.8,4.8,4.8,4.5,4.6
KEC International,Engineering & Construction , 5k-10k Employees , 79  ,3300.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.1,4.2,3.8,3.8,3.8,3.7,3.8,3.4
Nagarjuna Construction Company,Engineering & Construction , 5k-10k Employees , 26  ,3300.0,"Job Security, Salary & Benefits, Company Culture",,4.2,4.1,3.8,3.9,3.9,3.8,3.9,3.6
Piramal Capital Housing Finance,NBFC , 1k-5k Employees , 4  ,3200.0,"Company Culture, Skill Development / Learning, Work Life Balance",,4.2,4.0,4.1,4.1,4.1,4.0,4.1,3.8
Muthoot Fincorp,NBFC , 10k-50k Employees , 137  ,3200.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",4.0,3.9,3.9,3.8,3.9,3.8,3.4,3.3
Aditya Birla Fashion and Retail,Fashion & Textile , 10k-50k Employees , 36  ,3200.0,"Job Security, Skill Development / Learning, Company Culture",,4.2,4.1,3.9,4.0,4.1,3.8,3.8,3.5
CARS24,Internet , 5k-10k Employees , 9  ,3200.0,,"Job Security, Promotions / Appraisal, Work Life Balance",3.6,3.1,3.4,3.4,3.5,3.4,3.6,3.2
Varun Beverages,Beverage , 5k-10k Employees , 29  ,3100.0,"Job Security, Salary & Benefits",,4.1,3.9,3.7,3.7,3.7,3.7,3.8,3.4
ITC Infotech,IT Services & Consulting , 10k-50k Employees , 24  ,3100.0,"Work Life Balance, Job Security",Promotions / Appraisal,3.8,3.9,3.9,3.7,3.6,3.7,3.6,3.3
L&T Finance,NBFC , 10k-50k Employees , 30  ,3100.0,"Salary & Benefits, Skill Development / Learning",,4.0,3.7,3.6,3.7,3.8,3.6,4.0,3.5
Randstad,Recruitment , 5k-10k Employees , 32  ,3100.0,,"Promotions / Appraisal, Job Security",3.9,3.3,3.7,3.7,3.5,3.5,3.6,3.2
John Deere,Industrial Machinery , 5k-10k Employees , 23  ,3100.0,"Company Culture, Skill Development / Learning, Work Life Balance",,4.2,3.9,4.0,4.2,4.1,3.8,3.9,3.4
Royal Enfield,Automobile , 5k-10k Employees , 123  ,3100.0,"Skill Development / Learning, Work Satisfaction, Company Culture",,4.2,3.8,3.9,4.0,4.0,4.0,3.8,3.5
Tata Communications,Telecom , 5k-10k Employees , 38  ,3100.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,4.1,4.1,3.9,3.9,3.9,3.8,3.6,3.3
HDFC Ergo General Insurance,Insurance , 10k-50k Employees , 22  ,3000.0,"Job Security, Work Life Balance, Company Culture",,4.0,3.9,3.8,3.8,3.8,3.6,3.7,3.4
LG Electronics,Consumer Electronics & Appliances , 1k-5k Employees , 66  ,3000.0,"Job Security, Skill Development / Learning, Salary & Benefits",,4.1,4.0,3.6,3.7,3.9,3.6,3.8,3.5
Intas Pharmaceuticals,Pharma , 10k-50k Employees , 47  ,3000.0,"Job Security, Salary & Benefits, Work Life Balance",,4.1,4.2,3.9,3.8,3.8,3.8,4.0,3.6
Deutsche Bank,Banking , 10k-50k Employees , 154  ,3000.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.0,4.0,4.0,3.9,3.6,3.6,3.7,3.2
Samvardhana Motherson Group,Auto Components , 1k-5k Employees , 38  ,3000.0,Job Security,,3.8,4.1,3.4,3.5,3.6,3.5,3.5,3.4
Future Group,Retail , 10k-50k Employees , 11  ,3000.0,"Skill Development / Learning, Company Culture, Work Life Balance",,4.2,3.9,4.0,4.0,4.1,4.0,3.9,3.7
Kogta Financial India Limited,NBFC , 1k-5k Employees , 28  ,3000.0,"Company Culture, Work Life Balance, Work Satisfaction",,4.8,4.6,4.7,4.7,4.6,4.6,4.5,4.5
EY Global Delivery Services ( EY GDS),Accounting & Auditing , 50k-1 Lakh Employees , 22  ,3000.0,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3.6,3.9,3.3,3.5,3.7,3.3,3.5,3.2
Thermax Limited,Industrial Machinery , 1k-5k Employees , 58  ,3000.0,"Job Security, Company Culture, Skill Development / Learning",,4.2,4.2,3.9,4.1,4.0,3.9,3.7,3.5
Team Lease,Recruitment , 1k-5k Employees , 8  ,2900.0,,Promotions / Appraisal,4.0,3.5,3.7,3.7,3.7,3.6,3.7,3.2
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances , 10k-50k Employees , 127  ,2900.0,Job Security,Promotions / Appraisal,3.9,4.1,3.6,3.7,3.7,3.5,3.5,3.1
Macleods Pharmaceuticals,Pharma , 10k-50k Employees , 38  ,2900.0,Job Security,"Promotions / Appraisal, Company Culture",3.8,3.9,3.5,3.3,3.5,3.5,3.4,3.3
Havells,Electrical Equipment , 5k-10k Employees , 41  ,2900.0,"Work Life Balance, Salary & Benefits",,4.0,3.7,3.8,3.7,3.7,3.7,3.8,3.5
R1 RCM,Healthcare , 5k-10k Employees , 17  ,2900.0,"Job Security, Company Culture, Work Life Balance",,3.9,3.9,3.8,3.9,3.7,3.7,3.7,3.5
Tata Capital,NBFC , 5k-10k Employees , 17  ,2900.0,"Job Security, Company Culture, Skill Development / Learning",,4.1,4.1,3.9,4.0,4.0,3.8,3.9,3.6
Access Healthcare,IT Services & Consulting , 5k-10k Employees , 13  ,2900.0,"Job Security, Company Culture",Promotions / Appraisal,3.9,4.0,3.7,3.8,3.7,3.7,3.7,3.4
Hetero Drugs,Pharma , 1k-5k Employees , 31  ,2900.0,Job Security,"Promotions / Appraisal, Salary & Benefits",3.9,3.9,3.6,3.5,3.6,3.5,3.3,3.2
Cummins,Industrial Machinery , 1k-5k Employees , 105  ,2900.0,"Company Culture, Work Life Balance, Skill Development / Learning",,4.3,3.8,4.2,4.4,4.1,4.0,4.0,3.6
Viatris,Pharma , 10k-50k Employees , 4  ,2900.0,"Salary & Benefits, Job Security, Work Life Balance",,4.2,4.2,4.0,3.9,3.9,3.8,4.3,3.8
Whitehat jr,EdTech , 5k-10k Employees , 6  ,2800.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.5,2.6,3.2,3.2,3.4,3.2,3.6,3.1
Publicis Sapient,IT Services & Consulting , 10k-50k Employees , 34  ,2800.0,,"Promotions / Appraisal, Job Security, Work Satisfaction",3.6,3.2,3.4,3.5,3.7,3.3,3.5,2.9
Square Yards,Real Estate , 1k-5k Employees , 10  ,2800.0,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,4.2,4.0,4.1,4.1,4.2,4.1,4.2,4.2
Atos,IT Services & Consulting , 10k-50k Employees , 27  ,2800.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",3.8,3.7,3.9,3.7,3.6,3.6,3.3,3.1
American Express,Financial Services , 10k-50k Employees , 174  ,2800.0,"Company Culture, Work Life Balance, Job Security",,4.2,4.1,4.2,4.2,3.9,3.9,4.1,3.6
VE Commercial Vehicles,Automobile , 1k-5k Employees , 16  ,2800.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,4.1,4.2,3.7,3.8,3.9,3.7,3.5,3.3
Aakash Educational Services,EdTech , 5k-10k Employees , 36  ,2800.0,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",3.6,3.3,3.1,3.3,3.5,3.2,3.6,3.1
Tata AIA Life Insurance,Insurance , 10k-50k Employees , 23  ,2800.0,"Job Security, Salary & Benefits, Skill Development / Learning",,4.0,4.0,3.7,3.8,3.9,3.7,4.0,3.6
Abbott,Pharma , 10k-50k Employees , 136  ,2800.0,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.2,3.8,3.9,4.0,4.0,3.8,4.0,3.3
Indian Oil Corporation,Oil & Gas , 10k-50k Employees , 65  ,2800.0,"Company Culture, Work Life Balance, Job Security",,4.4,4.2,4.2,4.2,4.2,4.2,4.1,3.8
Automatic Data Processing (ADP),Software Product , 1k-5k Employees , 75  ,2800.0,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,4.1,4.3,4.0,4.0,3.8,3.8,3.7,3.4
Subros,Auto Components , 1k-5k Employees , 39  ,2800.0,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",4.0,4.2,3.7,3.9,4.0,3.6,3.2,3.3
Bharat Electronics,Electronics Manufacturing , 5k-10k Employees , 70  ,2800.0,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.2,3.8,4.0,4.0,3.9,3.9,3.7,3.3
Pidilite Industries,Chemicals , 5k-10k Employees , 65  ,2800.0,"Job Security, Company Culture, Work Life Balance",,4.3,4.4,4.1,4.2,4.1,4.0,3.8,3.5
Sodexo,Facility Management Services , 10k-50k Employees , 16  ,2800.0,"Company Culture, Work Life Balance, Skill Development / Learning",,4.1,3.8,4.0,4.0,4.0,3.9,3.8,3.5
Alembic Pharmaceuticals,Pharma , 10k-50k Employees , 117  ,2700.0,"Salary & Benefits, Work Life Balance",,4.0,3.5,3.8,3.7,3.7,3.7,4.0,3.7
Utkarsh Small Finance Bank,Banking , 10k-50k Employees , 15  ,2700.0,Job Security,,3.9,3.8,3.6,3.6,3.7,3.6,3.6,3.5
Barclays,Banking , 10k-50k Employees , 334  ,2700.0,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,4.0,4.0,3.9,3.9,3.6,3.6,3.9,3.4
Berger Paints,Chemicals , 1k-5k Employees , 101  ,2700.0,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",3.8,3.7,3.3,3.4,3.6,3.3,3.4,3.1
DCB Bank,Banking , 5k-10k Employees , 94  ,2700.0,Work Life Balance,,3.8,3.7,3.8,3.7,3.7,3.6,3.7,3.4
Ford Motor,Automobile , 5k-10k Employees , 121  ,2700.0,"Company Culture, Work Life Balance, Salary & Benefits",,4.4,4.0,4.4,4.5,4.2,4.2,4.2,3.7
Carelon Global Solutions,IT Services & Consulting , 10k-50k Employees , 121  ,2700.0,"Job Security, Salary & Benefits, Company Culture",,4.0,4.1,3.8,4.0,3.7,3.6,4.0,3.4
Hindalco Industries,Metals & Mining , 10k-50k Employees , 66  ,2700.0,"Job Security, Skill Development / Learning, Company Culture",,4.2,4.4,4.0,4.0,4.1,3.9,3.7,3.5
Wipro Infotech,IT Services & Consulting , 1 Lakh+ Employees (Global) , 79  ,2700.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,4.0,4.0,3.9,3.9,3.9,3.7,3.5,3.4
Bank of America,Banking , 10k-50k Employees , 26  ,2700.0,"Job Security, Work Life Balance, Company Culture",,4.4,4.7,4.4,4.3,4.0,4.0,4.0,3.6
PolicyBazaar,Internet , 10k-50k Employees , 16  ,2600.0,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction",3.4,3.1,2.9,3.0,3.3,3.0,3.8,3.0
Alkem Laboratories,Pharma , 10k-50k Employees , 51  ,2600.0,,,3.9,3.4,3.6,3.5,3.7,3.5,3.7,3.5
Vishal Mega Mart,Retail , 10k-50k Employees , 16  ,2600.0,Salary & Benefits,,3.8,3.4,3.4,3.4,3.6,3.4,3.8,3.5
Indian Air Force,Defence & Aerospace , 1 Lakh+ Employees , 92  ,2600.0,"Job Security, Skill Development / Learning, Salary & Benefits",,4.6,4.7,4.2,4.2,4.4,4.2,4.4,3.8
Maersk,Logistics , 10k-50k Employees , 120  ,2600.0,"Company Culture, Work Life Balance, Job Security",,4.3,4.1,4.2,4.2,4.0,4.0,4.0,3.5
Johnson Controls,Industrial Automation , 5k-10k Employees , 139  ,2600.0,,"Promotions / Appraisal, Job Security, Work Satisfaction",3.6,3.3,3.5,3.4,3.4,3.3,3.5,3.0
Jindal Steel and Power,Iron & Steel , 5k-10k Employees , 45  ,2600.0,"Skill Development / Learning, Job Security",,4.0,3.9,3.7,3.7,3.9,3.7,3.6,3.4
Ipca Laboratories,Pharma , 10k-50k Employees , 75  ,2600.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",4.0,4.1,3.9,3.8,3.8,3.7,3.3,3.1
24/7 Customer,BPO , 5k-10k Employees , 24  ,2600.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.3,3.4,3.6,3.5,3.3,3.1,3.0
Cogent E Services,BPO , 10k-50k Employees , 20  ,2600.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.3,3.2,3.1,3.1,3.3,3.1,2.9,2.9
Escorts Kubota Limited,Automobile , 1k-5k Employees , 80  ,2600.0,"Skill Development / Learning, Work Life Balance, Company Culture",,4.1,3.8,3.9,3.9,3.9,3.8,3.6,3.4
Aarti Industries,Agro Chemicals , 5k-10k Employees , 49  ,2600.0,"Job Security, Work Life Balance, Skill Development / Learning",,4.2,4.4,4.1,4.0,4.1,3.9,3.6,3.6
Glenmark Pharmaceuticals,Pharma , 10k-50k Employees , 47  ,2600.0,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal,4.0,3.8,3.6,3.7,3.8,3.6,3.8,3.3
Lenskart,Internet , 5k-10k Employees , 14  ,2600.0,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3.2,3.0,3.0,3.0,3.3,2.9,3.1,2.8
Reliance Digital,Retail , 5k-10k Employees , 17  ,2600.0,"Skill Development / Learning, Job Security, Company Culture",,4.2,4.3,4.0,4.1,4.3,4.0,3.8,3.6
RBL Bank,Banking , 10k-50k Employees , 81  ,2600.0,,"Promotions / Appraisal, Work Satisfaction",3.7,3.6,3.6,3.4,3.4,3.4,3.4,3.2
MRF Tyres,Auto Components , 10k-50k Employees , 78  ,2500.0,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",3.8,4.1,3.3,3.1,3.5,3.2,3.7,3.5
Hindustan Coca Cola Beverages,Beverage , 5k-10k Employees , 27  ,2500.0,"Skill Development / Learning, Salary & Benefits, Company Culture",,4.2,4.0,3.8,4.0,4.0,3.9,4.0,3.5
UnitedHealth,Healthcare , 10k-50k Employees , 47  ,2500.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.1,4.3,4.1,4.0,3.8,3.8,3.6,3.4
Paras Hospital,Healthcare , 1k-5k Employees , 18  ,2500.0,"Skill Development / Learning, Work Life Balance, Company Culture",,4.6,4.4,4.5,4.5,4.5,4.4,4.4,4.3
Honda Motorcycle & Scooter,Automobile , 10k-50k Employees , 23  ,2500.0,"Job Security, Work Life Balance, Company Culture",,4.1,4.2,4.0,4.0,3.9,3.9,3.9,3.5
Synechron,IT Services & Consulting , 10k-50k Employees , 23  ,2500.0,Salary & Benefits,"Job Security, Promotions / Appraisal",3.6,3.0,3.6,3.6,3.7,3.4,3.8,3.2
Jubilant Foods Works,Hospitality , 10k-50k Employees , 29  ,2500.0,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance",3.8,3.6,3.4,3.5,3.8,3.4,3.7,3.4
DTDC Express,Logistics , 1k-5k Employees , 34  ,2500.0,,"Promotions / Appraisal, Salary & Benefits",3.8,3.7,3.6,3.4,3.6,3.5,3.4,3.1
Birlasoft,IT Services & Consulting , 10k-50k Employees , 29  ,2500.0,,"Promotions / Appraisal, Salary & Benefits",3.7,3.6,3.7,3.5,3.5,3.4,3.3,3.0
Reliance Nippon Life Insurance,Insurance , 10k-50k Employees , 24  ,2500.0,,"Promotions / Appraisal, Job Security",3.8,3.4,3.6,3.5,3.5,3.4,3.6,3.4
Kotak Mahindara Life Insurance,Insurance , 10k-50k Employees , 23  ,2500.0,Job Security,,3.8,3.9,3.6,3.7,3.7,3.5,3.5,3.4
Ceat Tyres,Auto Components , 5k-10k Employees , 66  ,2500.0,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,4.1,4.1,3.7,4.0,4.0,3.6,3.4,3.3
Sahrudaya Healthcare (Medicover Hospitals),Healthcare , 5k-10k Employees , 13  ,2500.0,"Skill Development / Learning, Company Culture, Job Security",,4.6,4.5,4.5,4.5,4.5,4.4,4.2,4.2
ABB Group,Electrical Equipment , 1k-5k Employees , 36  ,2500.0,"Job Security, Work Life Balance, Company Culture",,4.1,4.2,4.0,4.0,3.9,3.8,3.6,3.4
PNB MetLife,Insurance , 5k-10k Employees , 23  ,2500.0,,"Job Security, Work Satisfaction, Promotions / Appraisal",3.5,3.1,3.3,3.1,3.3,3.1,3.4,3.1
JK Cement,Building Material , 1k-5k Employees , 49  ,2500.0,"Salary & Benefits, Job Security, Company Culture",,4.2,3.9,3.8,3.8,3.8,3.8,4.0,3.6
GeBBS Healthcare Solutions,BPO , 5k-10k Employees , 19  ,2500.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.7,3.8,3.5,3.5,3.7,3.4,3.3,3.2
Conduent,BPO , 5k-10k Employees , 7  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.5,3.7,3.7,3.5,3.2,3.3,2.8,2.6
NatWest Group,Banking , 10k-50k Employees ,Unknown,2400.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,4.0,4.1,4.3,4.1,3.7,3.7,3.4,3.1
KPIT Technologies,Software Product , 5k-10k Employees , 34  ,2400.0,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.6,3.2,3.3,3.3,3.5,3.2,3.3,3.0
CMS IT Services,IT Services & Consulting , 5k-10k Employees , 10  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Company Culture",3.1,3.0,3.0,2.9,3.0,2.9,2.5,2.4
InterGlobe Aviation,Aviation , 10k-50k Employees , 19  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6,3.6,3.3,3.4,3.6,3.2,3.2,3.1
HARMAN,Consumer Electronics & Appliances , 5k-10k Employees , 15  ,2400.0,Work Life Balance,Promotions / Appraisal,3.8,3.5,3.8,3.7,3.4,3.4,3.6,3.3
Dabur,FMCG , 5k-10k Employees , 140  ,2400.0,,Promotions / Appraisal,3.8,3.6,3.6,3.5,3.6,3.5,3.7,3.2
IGT Solutions,IT Services & Consulting , 5k-10k Employees , 26  ,2400.0,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.4,3.2,3.1,3.1,3.3,3.1,3.0,2.7
Reliance SMSL,BPO , 1k-5k Employees , 17  ,2400.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal,4.0,3.8,3.8,3.8,4.0,3.7,3.8,3.3
